aadA   1346596 1347384 1
lldP   3885912 3887567 1
lldR   3887564 3888340 1
lnt    730172 731710 -1
lolA   1041566 1042180 1
lolB   1876024 1876647 1
lon    505542 507896 1
lonH   1158495 1160255 -1
lpdA   181007 182431 1
lpfA   3827449 3827985 -1
lpfB   3826666 3827364 -1
lpfC   3824115 3826643 -1
lpfD   3823018 3824097 -1
lpfE   3822485 3823012 -1
lplA   4831413 4832429 -1
lpp    1459379 1459615 -1
lppB   1459057 1459296 -1
lpxA   266995 267783 1
lpxB   267783 268931 1
lpxC   156935 157852 1
lpxD   265405 266430 1
lpxH   597743 598465 -1
lpxK   1072180 1073157 1
lpxO   4527852 4528760 -1
lrhA   2440125 2441063 -1
lrp    1036742 1037236 1
lspA   56689 57189 1
ltaA   1009067 1010068 -1
luxS   2966270 2966785 -1
lysA   3172695 3173957 -1
lysC   4438468 4439817 -1
lysP   2298888 2300357 -1
lysR   3174075 3175010 1
lysS   3199219 3200736 -1
lytB   57796 58746 1
lyxK   3860963 3862459 1
maa    527401 527952 -1
maeB   2579979 2582258 -1
malE   4449329 4450528 -1
malF   4447653 4449197 -1
malG   4446748 4447638 -1
malK   4450881 4451990 1
malM   4453601 4454518 1
malP   3673913 3676306 -1
malQ   3671825 3673903 -1
malS   3850531 3852558 1
malT   3676900 3679605 1
malZ   456184 458001 1
manA   1540812 1541987 -1
manC   2188501 2189943 -1
manX   1928533 1929501 1
manY   1929554 1930354 1
manZ   1930358 1931218 1
map    253052 253846 -1
marA   1597094 1597528 -1
marB   1596850 1597065 -1
marC   1598190 1598855 1
marR   1597497 1597931 -1
marT   3958198 3959055 -1
mazG   3100610 3101410 -1
mdaA   945781 946503 1
mdaB   3342910 3343491 1
mdfA   938495 939727 1
mdh    3526676 3527614 -1
mdlA   516766 518538 1
mdlB   518531 520312 1
mdoB   4799699 4801951 -1
mdoC   1234992 1236146 -1
mdoG   1236418 1237953 1
mdoH   1237946 1240489 1
melA   4542398 4543753 1
melB   4543837 4545267 1
melR   4541197 4542129 -1
menA   4298154 4299083 -1
menB   2413999 2414856 -1
menC   2413037 2413999 -1
menD   2415626 2417296 -1
menE   2411673 2413040 -1
menF   2417382 2418677 -1
menG   4297576 4298061 -1
mepA   2493713 2494537 -1
mesJ   278671 279963 1
metA   4400841 4401770 1
metB   4309713 4310873 1
metC   3320995 3322182 1
metE   4169762 4172026 1
metF   4318528 4319418 1
metG   2249739 2251772 1
metH   4408252 4412022 1
metJ   4309131 4309448 -1
metK   3251693 3252847 1
metL   4310876 4313308 1
metR   4168560 4169513 -1
mfd    1298895 1302341 -1
mglA   2284964 2286484 -1
mglB   2286618 2287616 -1
mglC   2283938 2284948 -1
mgsA   1168524 1168982 -1
mgtA   4699688 4702396 1
mgtB   3961542 3964268 -1
mgtC   3964488 3965183 -1
miaA   4603542 4604492 1
miaB   734487 735911 -1
miaE   4713345 4714157 1
mig-14 2929595 2930491 1
mig-3  1963476 1964357 -1
minC   1912087 1912794 1
minD   1912818 1913630 1
minE   1913634 1913900 1
mioC   4084166 4084609 -1
mipA   1364189 1364935 1
misL   3954761 3957628 1
mlc    1565101 1566321 1
mltA   3139759 3140856 -1
mltB   2976975 2978054 -1
mltC   3270153 3271238 1
mntH   2523719 2524960 -1
moaA   870638 871627 1
moaB   871649 872161 1
moaC   872164 872649 1
moaD   872636 872887 1
moaE   872889 873341 1
mobA   4202196 4202780 -1
mobB   4201684 4202199 -1
mod    403331 405289 1
modA   845675 846448 1
modB   846448 847137 1
modC   847140 848198 1
modE   844442 845230 -1
modF   842899 844374 -1
moeA   915711 916952 -1
moeB   914962 915711 -1
mog    8729 9319 1
mopA   4575111 4576757 1
mopB   4574774 4575067 1
motA   2020124 2021011 -1
motB   2019198 2020127 -1
mpl    4656671 4658050 1
mppA   1771997 1773610 -1
mraY   146315 147397 1
mrcA   3646629 3649205 1
mrcB   220923 223445 1
mrdA   702023 703924 -1
mrdB   700908 702020 -1
mreB   3543516 3544559 -1
mreC   3542399 3543451 -1
mreD   3541908 3542399 -1
mrp    2248465 2249574 -1
mrr    4784466 4785380 1
mrsA   3462407 3463744 -1
msbA   1070435 1072183 1
msbB   1983992 1984963 -1
mscL   3581289 3581702 1
msgA   1329466 1329705 -1
msrA   4645202 4645840 -1
msyB   1240791 1241165 -1
mtgA   3488887 3489615 -1
mtlA   3875267 3877183 1
mtlD   3877404 3878552 1
mtlR   3878549 3879139 1
mtr    3444787 3446031 -1
mug    3378372 3378878 -1
mukB   1080209 1084675 1
mukE   1079505 1080209 1
mukF   1078202 1079524 1
murA   3474895 3476154 -1
murB   4356672 4357700 1
murC   151143 152618 1
murD   147400 148716 1
murE   143479 144966 1
murF   144963 146321 1
murG   149957 151024 1
murI   4349899 4350750 1
mutH   3163381 3164076 1
mutL   4601693 4603549 1
mutM   3921131 3921940 -1
mutS   3050279 3052846 1
mutT   161546 161941 1
mutY   3268685 3269737 1
mviM   1253776 1254699 1
mviN   1254964 1256538 1
nadA   820233 821276 1
nadB   2780428 2782050 1
nadC   168373 169266 -1
nadD   706846 707487 -1
nadE   1390119 1390946 -1
nadR   4835809 4837041 1
nagA   742917 744071 -1
nagB   744131 744931 -1
nagC   741692 742912 -1
nagD   740893 741645 -1
nagE   745258 747210 1
nagZ   1292607 1293632 1
nanA   3508119 3509012 -1
nanE   3505777 3506466 -1
nanH   1002088 1003326 -1
nanK   3504905 3505780 -1
nanT   3506513 3508003 -1
napA   2356418 2358904 -1
napB   2354295 2354744 -1
napC   2353683 2354285 -1
napD   2358901 2359164 -1
napF   2359154 2359645 -1
napG   2355716 2356411 -1
napH   2354860 2355729 -1
narG   1858413 1862156 -1
narH   1856881 1858416 -1
narI   1855497 1856174 -1
narJ   1856174 1856884 -1
narK   1862544 1863941 -1
narL   1866071 1866721 1
narP   2346702 2347349 1
narQ   2591762 2593462 1
narU   1659208 1660596 1
narV   1666661 1667341 1
narW   1665969 1666664 1
narX   1864282 1866078 1
narY   1664425 1665969 1
narZ   1660688 1664428 1
ndh    1294454 1295758 1
ndk    2660070 2660501 -1
nei    793925 794716 1
nemA   1512926 1514023 -1
nfi    4385219 4385890 1
nfnB   637028 637681 -1
nfo    2302659 2303516 1
nhaA   46190 47356 1
nhaB   1906828 1908372 1
nhaR   47418 48317 1
nhoA   1668376 1669221 -1
nifJ   1742125 1745649 1
nifS   2681537 2682751 -1
nifU   2681123 2681509 -1
nikR   3751343 3751744 1
nirB   3623515 3626058 1
nirC   3626647 3627456 1
nirD   3626055 3626381 1
nlp    3474550 3474837 1
nlpB   2602992 2604026 -1
nlpC   1422020 1422484 1
nlpD   3066549 3067682 -1
nlpI   3448253 3449137 -1
nmpC   1655173 1656261 1
nrdA   2381400 2383685 1
nrdB   2383798 2384928 1
nrdD   4692553 4694691 -1
nrdE   2952482 2954626 1
nrdF   2954637 2955596 1
nrdG   4691968 4692432 -1
nrdH   2951857 2952102 1
nrdI   2952099 2952509 1
nrfA   4516104 4517540 1
nrfB   4517565 4518218 1
nrfC   4518215 4518886 1
nrfD   4518883 4519839 1
nrfE   4519832 4522054 1
nrfG   4522051 4522671 1
nth    1528557 1529192 -1
ntpA   1994556 1995008 -1
nuoA   2439055 2439498 -1
nuoB   2438377 2439039 -1
nuoC   2436488 2438290 -1
nuoE   2435985 2436485 -1
nuoF   2434651 2435988 -1
nuoG   2431894 2434626 -1
nuoH   2430920 2431897 -1
nuoI   2430363 2430905 -1
nuoJ   2429798 2430352 -1
nuoK   2429499 2429801 -1
nuoL   2427661 2429502 -1
nuoM   2425818 2427347 -1
nuoN   2424354 2425631 -1
nupC   2525303 2526505 1
nupG   3271455 3272711 1
nusA   3456313 3457815 -1
nusB   471527 471946 1
nusG   4362402 4362947 1
nxiA   2931213 2932226 -1
oadA   3520046 3521821 -1
oadB   3518732 3520033 -1
oadG   3521837 3522091 -1
oafA   2332130 2333959 1
oat    3384795 3386084 1
ogt    1753663 1754178 1
ompA   1160965 1162017 -1
ompC   2365443 2366579 -1
ompF   1089781 1090872 -1
ompN   1549676 1550809 -1
ompR   3659606 3660325 -1
ompS   2077569 2078765 1
ompW   1827893 1828531 -1
ompX   899534 900049 1
oppA   1839608 1841356 -1
oppB   1838566 1839486 -1
oppC   1837643 1838551 -1
oppD   1836624 1837631 -1
oppF   1835623 1836627 -1
oraA   2974237 2974737 -1
orf242 1475260 1475988 -1
orf245 1464057 1464794 -1
orf319 1474128 1475087 -1
orf32  1463105 1463998 -1
orf408 1464806 1466032 -1
orf48  1461740 1463083 -1
orf70  1473820 1474032 1
orfX   1180248 1180418 1
orgA   3013788 3014468 -1
orn    4594797 4595342 1
osmB   1799923 1800141 1
osmC   1644237 1644668 -1
osmE   1391165 1391506 1
osmY   4815879 4816496 1
otsA   2023300 2024721 -1
otsB   2024696 2025499 -1
oxyR   4343080 4343997 1
pabA   3619759 3620322 -1
pabB   1921169 1922533 1
pabC   1281800 1282609 1
pagC   1332251 1332808 1
pagD   1331176 1331439 -1
pagK   1963179 1963379 1
pagO   1959507 1960421 1
pagP   692155 692727 1
pal    817291 817815 1
panB   212486 213277 -1
panC   211506 212360 -1
panD   211031 211411 -1
panF   3552266 3553717 1
parC   3336947 3339205 -1
parE   3343962 3345854 -1
pbpC   2665447 2667762 -1
pbpG   2265525 2266472 -1
pckA   3656566 3658182 1
pcm    3067858 3068484 -1
pcnB   213874 215292 -1
pdgL   1689954 1690724 -1
pdhR   175316 176080 1
pduA   2116846 2117130 1
pduC   2117958 2119622 1
pduD   2119633 2120307 1
pduE   2120322 2120843 1
pduF   2115527 2116321 -1
pduG   2120853 2122685 1
pduH   2122675 2123025 1
pduJ   2123044 2123319 1
pduK   2123323 2123805 1
pduL   2123805 2124437 1
pduM   2124434 2124925 1
pduN   2124929 2125204 1
pduO   2125214 2126224 1
pduP   2126221 2127615 1
pduQ   2127627 2128739 1
pduS   2128736 2130091 1
pduT   2130094 2130648 1
pduU   2130648 2130998 1
pduV   2131003 2131455 1
pduW   2131440 2132654 1
pduX   2132712 2133614 1
pdxA   103481 104470 -1
pdxB   2482355 2483491 -1
pdxH   1522704 1523360 1
pdxJ   2722442 2723173 -1
pdxK   2547554 2548420 -1
pdxY   1524821 1525681 1
pepA   4720448 4721959 -1
pepB   2676118 2677401 -1
pepD   360973 362430 -1
pepE   4413996 4414685 -1
pepN   1144141 1146753 1
pepP   3219640 3220956 -1
pepQ   4191689 4193020 1
pepT   1313417 1314646 1
perM   2606696 2607763 -1
pfkA   4272330 4273292 1
pfkB   1405090 1406022 -1
pflA   1052688 1053512 -1
pflB   1055096 1057378 -1
pflC   4331077 4331955 1
pflD   4328814 4331111 1
pflE   913785 914684 -1
pflF   911347 913779 -1
pfs    242062 242760 -1
pgi    4440162 4441811 1
pgk    3230692 3231855 -1
pgm    759758 761398 1
pgpA   472980 473495 1
pgpB   1803149 1803913 -1
pgsA   2035813 2036361 -1
pgtA   2507261 2508508 -1
pgtB   2508498 2510504 -1
pgtC   2510501 2511694 -1
pgtE   2506055 2506993 -1
pgtP   2512130 2513521 1
pheA   2808257 2809417 1
pheP   624199 625593 1
pheS   1415678 1416661 1
pheT   1416677 1419064 1
phnA   4530167 4530502 -1
phnB   4529604 4530047 -1
phnO   4529018 4529482 -1
phnR   483349 484068 -1
phnS   482138 483151 -1
phnT   481023 482132 -1
phnU   480160 481020 -1
phnV   479360 480157 -1
phnW   484208 485311 1
phnX   485318 486130 1
phoB   450795 451484 1
phoE   364980 366032 -1
phoH   1214315 1215169 1
phoL   733236 734321 -1
phoN   4563589 4564341 -1
phoP   1318689 1319363 -1
phoQ   1317226 1318689 -1
phoR   451554 452849 1
phoU   4060000 4060725 -1
phrB   774778 776199 1
phsA   2138675 2140951 -1
phsB   2138082 2138660 -1
phsC   2137321 2138085 -1
pipA   1175548 1176228 -1
pipB   1176450 1177325 -1
pipC   1177873 1178214 -1
pipD   1180638 1182107 -1
pitA   3758496 3759992 1
pldA   4161623 4162492 1
pldB   4165860 4166876 1
plsB   4456181 4458601 -1
plsC   3335953 3336690 -1
plsX   1276153 1277232 1
pmbA   4681827 4683179 1
pmgI   3897564 3899108 1
pmrD   2411318 2411575 -1
pmrF   2405113 2406096 1
pncA   1371115 1371771 -1
pncB   1096831 1098033 -1
pnp    3449247 3451382 -1
pntA   1555695 1557224 1
pntB   1557235 1558623 1
pnuC   821301 822020 1
pocR   2114399 2115310 -1
polA   4206131 4208917 1
polB   113082 115433 -1
potA   1312030 1313166 -1
potB   1311183 1312046 -1
potC   1308749 1309528 -1
potD   1307678 1308724 -1
potE   762063 763382 -1
potF   948385 949497 1
potG   949585 950718 1
potH   950728 951681 1
potI   951678 952523 1
poxB   1010107 1011825 -1
ppa    4654741 4655271 -1
ppc    4335253 4337904 -1
ppdA   3157362 3157832 -1
ppdB   3156808 3157371 -1
ppdC   3156099 3156419 -1
ppdD   167714 168151 -1
pphB   3048771 3049427 1
ppiA   3621222 3621794 -1
ppiB   598468 598962 -1
ppiC   4118944 4119225 -1
ppk    2614937 2617003 1
pps    1427770 1430148 1
ppx    2617008 2618549 1
pqaA   1619783 1621339 -1
pqaB   2408968 2410614 1
pqiA   1153927 1155180 1
pqiB   1155185 1156825 1
prc    1941134 1943182 -1
prfA   1873331 1874413 -1
prfB   3200746 3201627 -1
prfC   4813888 4815477 1
prfH   360203 360817 1
prgH   3016342 3017520 -1
prgI   3016075 3016317 -1
prgJ   3015751 3016056 -1
prgK   3014996 3015754 -1
priA   4303361 4305559 -1
priB   4630916 4631230 1
priC   539116 539631 -1
prkB   3613968 3614837 1
prlC   3763940 3765982 -1
prmA   3553729 3554610 1
proA   367430 368680 1
proB   366315 367418 1
proC   439256 440065 -1
proP   4530970 4532472 1
proQ   1943202 1943888 -1
proS   282467 284185 -1
proV   2955951 2957153 1
proW   2957146 2958210 1
proX   2958280 2959275 1
proY   454652 456022 1
prpA   1950689 1951339 -1
prpB   417977 418864 1
prpC   418987 420156 1
prpD   420196 421647 1
prpE   421688 423574 1
prpR   416087 417712 -1
prsA   1877761 1878708 1
psd    4592578 4593546 -1
psiF   437717 438037 1
pspA   1781747 1782415 -1
pspB   1781463 1781687 -1
pspC   1781104 1781463 -1
pspD   1780863 1781081 -1
pspE   1780473 1780787 -1
pspF   1782586 1783566 1
pssA   2792655 2794010 1
pstA   4061600 4062490 -1
pstB   4060740 4061513 -1
pstC   4062490 4063449 -1
pstS   4063585 4064625 -1
pta    2449218 2451362 1
pth    1881093 1881701 1
ptpS   3092934 3093296 1
ptr    3149646 3152534 -1
ptrB   1971805 1973856 -1
ptsA   4324491 4326992 -1
ptsG   1286369 1287802 1
ptsH   2544586 2544843 1
ptsI   2544892 2546619 1
ptsJ   2548503 2549795 1
ptsN   3486271 3486762 1
ptsO   3487659 3487931 1
ptsP   3159909 3162155 -1
ptxA   4626961 4627425 1
pudB   2117238 2117939 1
purA   4609096 4610394 1
purB   1319487 1320857 -1
purC   2602104 2602817 -1
purD   4391161 4392450 -1
purE   597116 597625 -1
purF   2474336 2475853 -1
purG   2708254 2712141 -1
purH   4392462 4394051 -1
purK   596052 597119 -1
purM   2613073 2614110 1
purN   2614110 2614748 1
purR   1507920 1508945 -1
purT   1975664 1976842 1
purU   1851568 1852410 1
putA   1208415 1211558 -1
putP   1211980 1213488 1
pykA   1982477 1983919 1
pykF   1459926 1461338 -1
pyrB   4703970 4704905 -1
pyrC   1248515 1249561 -1
pyrD   1146961 1147971 1
pyrE   3925959 3926600 -1
pyrF   1800587 1801324 -1
pyrG   3098745 3100382 -1
pyrH   256276 257001 1
pyrI   4703496 4703957 -1
pyrL   4704941 4705042 -1
qor    4465543 4466526 -1
queA   459560 460624 1
radA   4834276 4835658 1
radC   3922680 3923345 -1
rarD   4160063 4160947 -1
ratA   2641875 2647472 -1
ratB   2634402 2641709 -1
rbfA   3452988 3453389 -1
rbn    4237342 4238214 1
rbsA   4092086 4093591 1
rbsB   4094587 4095477 1
rbsC   4093597 4094562 1
rbsD   4091659 4092078 1
rbsK   4095611 4096540 1
rbsR   4096544 4097542 1
rcsA   2067427 2068050 1
rcsB   2369994 2370644 1
rcsC   2370747 2373593 -1
rcsF   285000 285404 -1
rdgC   442929 443840 -1
recA   2974854 2975915 -1
recB   3146108 3149653 -1
recC   3152712 3156083 -1
recD   3144276 3146111 -1
recF   4041298 4042371 -1
recG   3936881 3938962 1
recJ   3201949 3203682 -1
recN   2823264 2824925 1
recO   2723185 2723913 -1
recQ   4162558 4164405 1
recR   543210 543815 1
relA   3102880 3105114 -1
rep    4119763 4121787 1
res    405299 408271 1
rfaB   3914534 3915613 -1
rfaC   3907297 3908250 1
rfaD   3905316 3906248 1
rfaE   3362559 3363992 -1
rfaF   3906251 3907297 1
rfaG   3916738 3917862 -1
rfaH   4182924 4183412 -1
rfaI   3913515 3914528 -1
rfaJ   3912487 3913497 -1
rfaK   3909561 3910706 -1
rfaL   3908290 3909504 1
rfaP   3915948 3916745 -1
rfaQ   3917859 3918893 -1
rfaY   3911766 3912464 -1
rfaZ   3910807 3911616 -1
rfbA   2175670 2176548 -1
rfbB   2177495 2178580 -1
rfbC   2175118 2175669 -1
rfbD   2176596 2177495 -1
rfbF   2173350 2174123 -1
rfbG   2172266 2173345 -1
rfbH   2170926 2172239 -1
rfbI   617360 617722 -1
rfbI   2174120 2175112 -1
rfbJ   2169999 2170898 -1
rfbK   2162433 2163866 -1
rfbM   2163853 2165292 -1
rfbN   2165293 2166237 -1
rfbP   2160931 2162361 -1
rfbU   2166238 2167299 -1
rfbV   2167619 2168620 -1
rfbX   2168625 2169917 -1
rfc    1410087 1411310 -1
rfe    4127073 4128176 1
rffG   4131679 4132746 1
rffH   4132779 4133003 1
rhaA   4256052 4257311 -1
rhaB   4257308 4258777 -1
rhaD   4255082 4255909 -1
rhaR   4260054 4260902 1
rhaS   4259065 4259901 1
rhaT   4260899 4261933 -1
rhlB   4123427 4124692 -1
rhlE   885586 886950 1
rho    4125584 4126843 1
rhtC   4164469 4165089 1
rhuM   3951733 3952770 1
ribA   1804109 1804699 1
ribB   3357851 3358504 -1
ribD   469844 470947 1
ribE   1503552 1504193 1
ribF   52872 53810 1
ribH   471036 471506 1
rihC   60164 61084 1
rimI   4812651 4813097 1
rimJ   1252507 1253091 1
rimK   946561 947463 1
rimL   1701042 1701581 -1
rimM   2816073 2816621 -1
rlpA   699752 700897 -1
rlpB   708520 709110 -1
rluA   109331 109990 -1
rluC   1272131 1273090 1
rluD   2805547 2806527 -1
rmbA   3954069 3954686 1
rmf    1157641 1157808 1
rna    679989 680795 -1
rnb    1794346 1796280 1
rnc    2724827 2725507 -1
rnd    1914022 1915149 -1
rne    1268354 1271557 -1
rnhA   302871 303338 -1
rnhB   268928 269524 1
rnk    679344 679754 -1
rnpA   4045842 4046201 1
rnt    1511702 1512349 -1
rob    4842666 4843535 -1
rof    280047 280307 -1
rpe    3637995 3638672 -1
rph    3926679 3927395 -1
rpiA   3224777 3225436 -1
rplA   4363537 4364241 1
rplB   3593803 3594624 -1
rplC   3595557 3596186 -1
rplD   3594941 3595546 -1
rplE   3590160 3590699 -1
rplF   3588868 3589401 -1
rplI   4631504 4631953 1
rplJ   4364661 4365158 1
rplK   4363105 4363533 1
rplL   4365225 4365590 1
rplM   3512814 3513242 -1
rplN   3591039 3591410 -1
rplO   3587366 3587800 -1
rplP   3592019 3592429 -1
rplQ   3582877 3583260 -1
rplR   3588505 3588858 -1
rplS   2814873 2815220 -1
rplT   1415020 1415376 1
rplU   3472778 3473089 -1
rplV   3593161 3593493 -1
rplW   3594642 3594944 -1
rplX   3590714 3591028 -1
rplY   2326433 2326717 1
rpmA   3472501 3472758 -1
rpmB   3922226 3922462 -1
rpmC   3591828 3592019 -1
rpmD   3587804 3587983 -1
rpmE   4305763 4305975 1
rpmE2  526352 526612 1
rpmF   1275846 1276019 1
rpmG   3922038 3922205 -1
rpmH   4045685 4045825 1
rpmI   1414772 1414969 1
rpmJ   3585879 3585995 -1
rpmJ2  526618 526758 1
rpoA   3583301 3584290 -1
rpoB   4365908 4369936 1
rpoC   4370013 4374236 1
rpoD   3376266 3378248 1
rpoE   2779428 2780003 -1
rpoH   3735927 3736781 -1
rpoN   3484410 3485843 1
rpoS   3065494 3066486 -1
rpoZ   3933776 3934051 1
rpsA   1065791 1067464 1
rpsB   254297 255022 1
rpsC   3592442 3593143 -1
rpsD   3584316 3584936 -1
rpsE   3587987 3588490 -1
rpsF   4630514 4630909 1
rpsG   3601769 3602239 -1
rpsH   3589414 3589806 -1
rpsI   3512406 3512798 -1
rpsJ   3596219 3596530 -1
rpsK   3584970 3585359 -1
rpsL   3602335 3602709 -1
rpsM   3585376 3585732 -1
rpsN   3589840 3590145 -1
rpsO   3451624 3451893 -1
rpsP   2816640 2816888 -1
rpsQ   3591574 3591828 -1
rpsR   4631235 4631462 1
rpsS   3593508 3593786 -1
rpsT   52280 52543 -1
rpsU   3374055 3374270 1
rpsV   1645491 1645634 1
rrmA   1932707 1933516 -1
rsd    4382750 4383238 -1
rseA   2778746 2779396 -1
rseB   2777790 2778746 -1
rseC   2777314 2777793 -1
rsmC   4811138 4812166 -1
rspA   1582248 1583462 1
rspB   1583473 1584492 1
rstA   1551289 1552020 -1
rstB   1546405 1547706 -1
rsuA   2323701 2324396 -1
rtcA   3680340 3681359 -1
rtcB   3681363 3682580 -1
rtcR   3684868 3686451 1
rthB   4165129 4165749 -1
rtn    2314556 2316112 1
ruvA   1990073 1990684 -1
ruvB   1989054 1990064 -1
ruvC   1993228 1993749 -1
safA   342209 342721 1
safB   342829 343542 1
safC   343566 346076 1
safD   346098 346568 1
sanA   2280227 2280946 1
sapA   1783678 1785327 1
sapB   1785324 1786289 1
sapC   1786276 1787166 1
sapD   1787166 1788158 1
sapF   1788160 1788966 1
sbcB   2144261 2145691 1
sbcC   446241 449381 -1
sbcD   449378 450580 -1
sbmA   430359 431579 1
sbmC   2135405 2135872 -1
sbp    4273496 4274485 1
scsA   1200154 1200516 1
scsB   1200565 1202451 1
scsC   1202448 1203071 1
scsD   1203061 1203567 1
sdaA   1923379 1924743 1
sdaB   3122119 3123486 1
sdaC   3120771 3122060 1
sdhA   798722 800488 1
sdhB   800502 801221 1
sdhC   797992 798381 1
sdhD   798375 798722 1
sdiA   2039658 2040380 -1
secA   158689 161394 1
secB   3896036 3896503 -1
secD   462331 464178 1
secE   4362017 4362400 1
secF   464189 465160 1
secG   3461852 3462184 -1
secY   3586027 3587358 -1
selA   3872693 3874084 -1
selB   3870846 3872696 -1
selD   1375609 1376652 1
seqA   759191 759733 1
serA   3223279 3224511 -1
serB   4833224 4834192 1
serC   1061475 1062563 1
serS   1043792 1045084 1
setB   2307723 2308904 1
sfbA   571112 571942 1
sfbB   571979 572995 1
sfbC   572988 573647 1
sfcA   1645811 1647508 1
sfsA   217030 217734 -1
sgaB   4626646 4626951 1
sgaE   4628953 4629639 1
sgaH   4627439 4628089 1
sgaT   4625200 4626630 1
sgaU   4628099 4628953 1
sgbE   3863965 3864660 1
sgbH   3862456 3863118 1
sgbU   3863111 3863971 1
shdA   2627589 2633708 -1
sicA   3030898 3031395 -1
sicP   3023689 3024081 -1
sifA   1309844 1310854 -1
sifB   1692181 1693131 1
sinH   2648609 2650801 -1
sinI   2647592 2648551 -1
sinR   348610 349557 1
sipA   3024679 3026736 -1
sipB   3029114 3030895 -1
sipC   3027857 3029086 -1
sipD   3026755 3027786 -1
sirC   1872112 1872501 -1
sitA   3006368 3007285 1
sitB   3007282 3008103 1
sitC   3008100 3008960 1
sitD   3008951 3009799 1
sixA   2497411 2497896 -1
slp    1917112 1917693 -1
slpA   57344 57793 1
slrB   2979851 2980213 1
slrP   866944 869241 1
slsA   3959839 3960519 1
slt    4838999 4840972 1
slyA   1519880 1520320 1
slyB   1520368 1520835 -1
slyD   3606315 3606905 -1
slyX   3605909 3606127 1
smf    3575680 3576804 -1
smg    3575235 3575708 -1
smp    4832463 4833107 -1
smpA   2825074 2825412 1
smpB   2826484 2826966 1
smtA   1077406 1078209 1
smvA   1656810 1658297 -1
sodA   4266539 4267159 1
sodB   1509413 1509994 -1
sodC   1130053 1130586 -1
sodC   1516050 1516571 1
sohB   1813085 1814131 -1
solA   1246421 1247539 -1
sopA   2141570 2143918 1
sopB   1178231 1179916 -1
sopD   3087148 3088101 1
sopE2  1952012 1952734 -1
soxR   4504380 4504838 1
soxS   4503970 4504293 -1
spaO   3034335 3035246 -1
spaP   3033671 3034345 -1
spaQ   3033385 3033645 -1
spaR   3032590 3033381 -1
spaS   3031533 3032603 -1
speA   3248927 3250903 -1
speB   3239519 3240439 -1
speC   3272773 3274908 -1
speD   194201 194995 -1
speE   195016 195876 -1
speF   763379 765577 -1
speG   1580710 1581270 -1
spf    4209084 4209131 1
spoT   3934070 3936181 1
spoU   3936186 3936875 1
sppA   1372910 1374766 -1
spr    2313658 2314230 1
sprB   3010967 3011722 -1
sprT   3254812 3255309 1
sptP   3022071 3023702 -1
spy    1388557 1389042 1
srfA   1679771 1681090 1
srfB   1681095 1684076 1
srfC   1684073 1686217 1
srfJ   4669016 4670359 1
srlA   2978308 2978871 1
srlD   2980225 2981004 1
srlE   2978868 2979839 1
srlR   2981637 2982410 1
srmB   2782903 2784237 1
ssaB   1479999 1480400 1
ssaC   1480402 1481895 1
ssaD   1481876 1483087 1
ssaE   1483095 1483337 1
ssaG   1489537 1489752 1
ssaH   1489793 1490020 1
ssaI   1490032 1490280 1
ssaJ   1490277 1491026 1
ssaK   1491589 1492263 1
ssaL   1492229 1493245 1
ssaM   1493303 1493671 1
ssaN   1495691 1496992 1
ssaO   1496995 1497372 1
ssaP   1497353 1497727 1
ssaQ   1497708 1498676 1
ssaR   1498744 1499391 1
ssaS   1499388 1499654 1
ssaT   1499655 1500434 1
ssaU   1500431 1501489 1
ssaV   1493656 1495701 1
ssb    4476286 4476816 1
sscA   1484521 1484994 1
sscB   1487525 1487959 1
sseA   1483601 1483927 1
sseA   2672906 2673748 1
sseB   1483934 1484524 1
sseB   2675232 2676017 -1
sseC   1484997 1486451 1
sseD   1486467 1487054 1
sseE   1487057 1487473 1
sseF   1487975 1488757 1
sseG   1488754 1489443 1
sseI   1139971 1140939 1
sseJ   1721293 1722519 1
sspA   3510553 3511191 -1
sspB   3510047 3510547 -1
sspH2  2340885 2343251 -1
ssrA   1476836 1479598 -1
ssrB   1476167 1476805 -1
stbA   384403 384939 -1
stbB   383580 384341 -1
stbC   381035 383596 -1
stbD   379705 381030 -1
stbE   378981 379739 -1
stcA   2247097 2247627 -1
stcB   2246358 2247041 -1
stcC   2243855 2246344 -1
stcD   2242832 2243839 -1
stdA   3191120 3191830 -1
stdB   3188511 3191000 -1
stdC   3187727 3188470 -1
stfA   230657 231217 1
stfC   231303 233960 1
stfD   233978 234730 1
stfE   234749 235261 1
stfF   235258 235734 1
stfG   235734 236264 1
sthA   4852095 4852778 -1
sthB   4849512 4852049 -1
sthD   4848937 4849494 -1
sthE   4847811 4848896 -1
stiA   208383 208922 -1
stiB   207652 208335 -1
stiC   205079 207625 -1
stiH   203991 205070 -1
stjB   4826467 4828875 -1
stjC   4828889 4829596 -1
stpA   2947225 2947626 -1
sucA   801745 804546 1
sucB   804561 805769 1
sucC   805911 807077 1
sucD   807077 807946 1
sufA   1452315 1452683 1
sufB   1452692 1454179 1
sufC   1454196 1454942 1
sufD   1454917 1456188 1
sufI   3334467 3335879 -1
sufS   1456185 1457405 1
sugE   4581500 4581817 1
sugR   3950009 3951199 1
suhB   2684435 2685238 1
sulA   1162374 1162883 -1
sun    3578460 3579749 1
surA   104470 105756 -1
surE   3068478 3069239 -1
syd    3117267 3117812 -1
tag    3829352 3829933 1
talA   2582530 2583480 1
talB   7665 8618 1
