thrL   189 254 cw
ycdT   1092098 1093456 cw
insF   1093497 1094363 ccw
insE   1094360 1094659 ccw
ymdE   1094727 1095068 cw
ycdU   1095065 1096051 cw
ghrA   1097108 1098046 cw
ycdX   1098101 1098838 cw
ycdY   1098862 1099416 cw
ycdZ   1099518 1100009 cw
csgG   1100073 1100906 ccw
csgF   1100933 1101349 ccw
csgE   1101374 1101763 ccw
csgD   1101768 1102418 ccw
csgB   1103173 1103628 cw
csgA   1103669 1104124 cw
csgC   1104183 1104515 cw
ymdA   1104636 1104947 cw
ymdB   1105042 1105575 cw
ymdC   1105577 1106998 cw
opgC   1107006 1108163 ccw
opgG   1108557 1110092 cw
opgH   1110085 1112628 cw
yceK   1112801 1113028 cw
msyB   1113029 1113403 ccw
mdtG   1113486 1114712 ccw
lpxL   1114884 1115804 ccw
yceA   1116029 1117081 cw
yceI   1117123 1117698 ccw
yceJ   1117702 1118268 ccw
yceO   1118529 1118669 ccw
solA   1118690 1119808 ccw
bssS   1119923 1120177 ccw
dinI   1120464 1120709 ccw
pyrC   1120783 1121829 ccw
yceB   1121935 1122495 ccw
grxB   1122629 1123276 ccw
mdtH   1123340 1124548 ccw
rimJ   1124784 1125368 cw
yceH   1125379 1126026 cw
yceM   1126028 1126951 cw
murJ   1127061 1128596 cw
flgN   1128636 1129052 ccw
flgM   1129057 1129350 ccw
flgA   1129426 1130085 ccw
flgB   1130240 1130656 cw
flgC   1130660 1131064 cw
flgD   1131076 1131771 cw
flgE   1131796 1133004 cw
flgF   1133024 1133779 cw
flgG   1133951 1134733 cw
flgH   1134786 1135484 cw
flgI   1135496 1136593 cw
flgJ   1136593 1137534 cw
flgK   1137600 1139243 cw
flgL   1139255 1140208 cw
rne    1140404 1143589 ccw
yceQ   1143724 1144044 cw
rluC   1144162 1145121 cw
yceF   1145233 1145817 ccw
yceD   1146016 1146537 cw
rpmF   1146589 1146762 cw
plsX   1146843 1147913 cw
fabH   1147981 1148934 cw
fabD   1148950 1149879 cw
fabG   1149892 1150626 cw
acpP   1150837 1151073 cw
fabF   1151161 1152402 cw
pabC   1152522 1153331 cw
yceG   1153334 1154356 cw
tmk    1154346 1154987 cw
holB   1154984 1155988 cw
ycfH   1155999 1156796 cw
ptsG   1157091 1158524 cw
fhuE   1158584 1160773 ccw
hinT   1161107 1161466 cw
ycfL   1161469 1161846 cw
lpoB   1161860 1162501 cw
thiK   1162482 1163306 cw
nagZ   1163317 1164342 cw
ycfP   1164365 1164907 cw
ndh    1165307 1166611 cw
ycfJ   1166821 1167360 cw
ycfQ   1167422 1168054 ccw
bhsA   1168295 1168552 cw
ycfS   1168634 1169596 ccw
mfd    1169740 1173186 ccw
ycfT   1173314 1174387 ccw
lolC   1174649 1175848 cw
lolD   1175841 1176542 cw
lolE   1176542 1177786 cw
nagK   1177815 1178726 cw
cobB   1178853 1179581 cw
ycfZ   1179701 1180489 ccw
ymfA   1180486 1180947 ccw
potD   1181005 1182051 ccw
potC   1182048 1182842 ccw
potB   1182839 1183666 ccw
potA   1183680 1184816 ccw
pepT   1185066 1186292 cw
ycfD   1186341 1187462 ccw
phoQ   1187538 1188998 ccw
phoP   1188998 1189669 ccw
purB   1189838 1191208 ccw
hflD   1191212 1191853 ccw
mnmA   1191889 1192995 ccw
nudJ   1193049 1193510 ccw
rluE   1193520 1194173 ccw
icd    1194345 1195595 cw
ymfD   1196089 1196754 ccw
ymfE   1196755 1197459 ccw
lit    1197917 1198810 cw
intE   1198901 1200028 ccw
xisE   1200009 1200254 ccw
ymfI   1200719 1201060 cw
ymfJ   1200998 1201306 ccw
cohE   1201481 1202155 ccw
croE   1202246 1202446 cw
ymfL   1202490 1203047 cw
ymfM   1203044 1203382 cw
oweE   1203392 1203625 cw
aaaE   1203626 1204759 cw
ymfR   1204771 1204953 cw
beeE   1204953 1205364 cw
jayE   1205365 1206144 cw
ymfQ   1206135 1206719 cw
stfP   1206723 1207352 cw
tfaP   1207354 1207767 cw
tfaE   1207739 1208341 ccw
stfE   1208341 1208841 ccw
pinE   1208907 1209461 cw
mcrA   1209568 1210401 cw
icdC   1210635 1210799 cw
iraM   1210902 1211225 ccw
ycgX   1211925 1212329 ccw
ycgE   1212550 1213281 ccw
ycgF   1213486 1214697 ccw
ycgZ   1215011 1215247 cw
ymgA   1215290 1215562 cw
ariR   1215591 1215857 cw
ymgC   1215970 1216218 cw
ycgG   1216550 1218073 cw
ymgF   1218205 1218423 cw
ycgH   1218823 1221470 cw
ymgD   1221527 1221856 ccw
ymgG   1221866 1222210 ccw
ymgI   1222212 1222385 ccw
ymgJ   1222486 1222671 cw
ycgI   1222786 1223129 cw
minE   1223501 1223767 ccw
minD   1223771 1224583 ccw
minC   1224607 1225302 ccw
ycgJ   1225822 1226190 cw
pliG   1226293 1226694 ccw
ycgL   1226936 1227229 cw
ycgM   1227301 1227960 cw
ycgN   1228037 1228498 cw
hlyE   1228705 1229616 ccw
umuD   1229989 1230408 cw
umuC   1230408 1231676 cw
dsbB   1231722 1232252 ccw
nhaB   1232398 1233939 ccw
fadR   1234160 1234879 cw
ycgB   1234931 1236463 ccw
dadA   1236793 1238091 cw
dadX   1238101 1239171 cw
cvrA   1239557 1241293 ccw
ldcA   1241388 1242302 ccw
emtA   1242402 1243013 cw
ycgR   1243015 1243749 ccw
ymgE   1243950 1244204 cw
ycgY   1244382 1244822 cw
treA   1244901 1246598 ccw
dhaM   1246918 1248336 ccw
dhaL   1248347 1248979 ccw
dhaK   1248990 1250060 ccw
dhaR   1250288 1252207 cw
ycgV   1252307 1255174 ccw
ychF   1255943 1257034 ccw
pth    1257151 1257735 ccw
ychH   1258013 1258291 cw
ychM   1258346 1260025 ccw
prs    1260150 1261097 ccw
ispE   1261248 1262099 ccw
lolB   1262099 1262722 ccw
hemA   1262936 1264192 cw
prfA   1264234 1265316 cw
prmC   1265316 1266149 cw
ychQ   1266146 1266538 cw
ychA   1266542 1267351 cw
kdsA   1267387 1268241 cw
ldrA   1268390 1268497 ccw
ldrB   1268925 1269032 ccw
ldrC   1269460 1269567 ccw
chaA   1269971 1271071 ccw
chaB   1271341 1271571 cw
chaC   1271729 1272424 cw
ychN   1272468 1272821 ccw
ychO   1273006 1274400 cw
narL   1274401 1275051 ccw
narX   1275044 1276840 ccw
narK   1277179 1278570 cw
narG   1279086 1282829 cw
narH   1282826 1284364 cw
narJ   1284361 1285071 cw
narI   1285071 1285748 cw
tpr    1286309 1286398 ccw
purU   1287004 1287846 ccw
ychJ   1287896 1288354 ccw
rssA   1288467 1289372 cw
rssB   1289464 1290477 cw
galU   1290679 1291587 cw
hns    1291731 1292144 ccw
tdk    1292749 1293366 cw
insZ   1293648 1294544 ccw
adhE   1294668 1297343 ccw
ychE   1297820 1298467 cw
oppA   1299205 1300836 cw
oppB   1300922 1301842 cw
oppC   1301857 1302765 cw
oppD   1302777 1303790 cw
oppF   1303787 1304791 cw
yciU   1304844 1305173 ccw
cls    1305208 1306668 ccw
yciY   1306811 1306984 cw
kch    1307039 1308292 ccw
yciI   1308592 1308888 ccw
tonB   1309112 1309831 cw
yciA   1309871 1310269 ccw
yciB   1310374 1310913 ccw
yciC   1310943 1311686 ccw
ompW   1312043 1312681 cw
yciE   1312741 1313247 ccw
yciF   1313293 1313793 ccw
yciG   1313879 1314058 ccw
trpA   1314439 1315245 ccw
trpB   1315245 1316438 ccw
trpC   1316450 1317808 ccw
trpD   1317812 1319407 ccw
trpE   1319407 1320969 ccw
trpL   1321061 1321105 ccw
yciV   1321243 1322124 cw
yciO   1322121 1322741 cw
yciQ   1322769 1324664 cw
rluB   1324875 1325750 cw
btuR   1325790 1326380 ccw
yciK   1326377 1327135 ccw
sohB   1327355 1328404 cw
yciN   1328440 1328691 ccw
topA   1329071 1331668 cw
cysB   1331878 1332852 cw
ymiA   1333183 1333311 cw
yciX   1333314 1333481 cw
acnA   1333854 1336529 cw
ribA   1336593 1337183 ccw
pgpB   1337353 1338117 cw
yciS   1338266 1338574 cw
yciM   1338581 1339750 cw
pyrF   1339944 1340681 cw
yciH   1340681 1341007 cw
osmB   1341133 1341351 ccw
yciT   1341620 1342369 ccw
yciZ   1342459 1342632 ccw
gmr    1342780 1344765 ccw
ymiB   1344819 1344923 cw
rnb    1345001 1346935 ccw
yciW   1347003 1348130 ccw
fabI   1348274 1349062 ccw
ycjD   1349430 1349783 ccw
sapF   1349851 1350657 ccw
sapD   1350659 1351651 ccw
sapC   1351651 1352541 ccw
sapB   1352528 1353493 ccw
sapA   1353490 1355133 ccw
ymjA   1355446 1355691 ccw
puuP   1355825 1357210 ccw
puuA   1357513 1358931 ccw
puuD   1359143 1359907 cw
puuR   1359934 1360491 cw
puuC   1360766 1362253 cw
puuB   1362255 1363535 cw
puuE   1363573 1364838 cw
pspF   1364958 1365935 ccw
pspA   1366102 1366770 cw
pspB   1366824 1367048 cw
pspC   1367048 1367407 cw
pspD   1367416 1367637 cw
pspE   1367712 1368026 cw
ycjM   1368239 1369918 cw
ycjN   1369932 1371224 cw
ycjO   1371245 1372126 cw
ycjP   1372113 1372955 cw
ycjQ   1372986 1374038 cw
ycjR   1374057 1374845 cw
ycjS   1374855 1375910 cw
ycjT   1375907 1378174 cw
ycjU   1378171 1378830 cw
ycjV   1378844 1379925 cw
ompG   1379970 1380875 cw
ycjW   1380986 1381984 ccw
ycjX   1382140 1383537 cw
ycjF   1383534 1384595 cw
tyrR   1384743 1386284 cw
tpx    1386328 1386834 ccw
ycjG   1386953 1387918 cw
mpaA   1387893 1388621 ccw
ymjC   1388748 1388885 ccw
ymjD   1388891 1388956 ccw
ycjY   1388956 1389876 ccw
ycjZ   1390014 1390913 cw
mppA   1391250 1392863 cw
ynaI   1392914 1393945 ccw
insH   1394099 1395115 cw
ynaJ   1395388 1395645 cw
uspE   1395695 1396645 ccw
fnr    1396797 1397549 ccw
ogt    1397744 1398259 ccw
abgT   1398270 1399796 ccw
abgB   1399833 1401278 ccw
abgA   1401278 1402588 ccw
abgR   1402764 1403672 cw
smrA   1404002 1404565 cw
ydaM   1404586 1405818 ccw
ydaN   1406073 1407056 cw
dbpA   1407534 1408907 cw
ttcA   1409036 1409971 ccw
intR   1410023 1411258 ccw
ydaQ   1411260 1411475 ccw
ydaC   1411554 1411763 ccw
ralR   1411756 1411950 ccw
recT   1412007 1412816 ccw
recE   1412809 1415409 ccw
racC   1415511 1415786 ccw
ydaE   1415861 1416031 ccw
kilR   1416031 1416252 ccw
sieB   1416694 1417182 cw
ydaF   1417179 1417334 ccw
ydaG   1417345 1417479 ccw
racR   1417788 1418264 ccw
ydaS   1418388 1418684 cw
ydaT   1418707 1419129 cw
ydaU   1419142 1419999 cw
ydaV   1420006 1420752 cw
ydaW   1420724 1421223 cw
rzpR   1421224 1421667 cw
rzoR   1421423 1421608 cw
trkG   1421805 1423262 cw
ynaK   1423400 1423663 cw
ydaY   1423653 1424105 cw
ynaA   1424477 1425409 cw
lomR   1425412 1427007 cw
insH   1425769 1426749 ccw
stfR   1427072 1430434 cw
tfaR   1430434 1431009 cw
pinR   1431107 1431697 ccw
ynaE   1432014 1432247 ccw
ttcC   1432981 1433031 ccw
uspF   1433208 1433642 ccw
ompN   1433783 1434916 ccw
ydbK   1435283 1438807 ccw
ydbJ   1439081 1439347 cw
hslJ   1439344 1439766 ccw
ldhA   1439877 1440866 ccw
ydbH   1441074 1443713 cw
ynbE   1443710 1443895 cw
ydbL   1443903 1444229 cw
feaR   1444401 1445306 ccw
feaB   1445542 1447041 cw
tynA   1447099 1449372 ccw
paaZ   1449620 1451665 ccw
paaA   1451950 1452879 cw
paaB   1452891 1453178 cw
paaC   1453187 1453933 cw
paaD   1453948 1454445 cw
paaE   1454453 1455523 cw
paaF   1455520 1456287 cw
paaG   1456287 1457075 cw
paaH   1457077 1458504 cw
paaI   1458494 1458916 cw
paaJ   1458916 1460121 cw
paaK   1460148 1461461 cw
paaX   1461562 1462512 cw
paaY   1462494 1463084 cw
ynbG   1463188 1463253 ccw
ydbA   1463415 1472036 cw
insD   1465944 1466849 ccw
insC   1466807 1467172 ccw
insI   1467381 1468532 cw
ydbC   1472244 1473104 cw
ydbD   1473167 1475473 cw
ynbA   1475644 1476249 cw
ynbB   1476249 1477145 cw
ynbC   1477161 1478918 cw
ynbD   1478932 1480224 cw
azoR   1480278 1480883 ccw
hrpA   1481084 1484986 cw
ydcF   1485258 1486058 cw
aldA   1486255 1487694 cw
gapC   1487736 1488736 ccw
cybB   1488925 1489455 cw
ydcA   1489700 1489873 cw
hokB   1489945 1490094 ccw
mokB   1489985 1490152 ccw
trg    1490493 1492133 cw
ydcI   1492171 1493094 ccw
ydcJ   1493311 1494654 cw
opgD   1494879 1496534 cw
ydcH   1496674 1496898 cw
rimL   1496961 1497500 cw
ydcK   1497492 1498472 ccw
tehA   1498596 1499588 cw
tehB   1499585 1500178 cw
ydcL   1500480 1501148 cw
insP   1501241 1501672 ccw
insQ   1501740 1502888 cw
ydcO   1502928 1504103 ccw
ydcN   1504195 1504731 cw
ydcP   1504804 1506765 cw
yncJ   1506857 1507087 ccw
hicA   1507309 1507485 cw
hicB   1507531 1507947 cw
ydcR   1508026 1509432 cw
ydcS   1509677 1510822 cw
ydcT   1510840 1511853 cw
ydcU   1511854 1512795 cw
ydcV   1512785 1513579 cw
prr    1513601 1515025 cw
yncL   1515122 1515217 ccw
ydcX   1515412 1515585 cw
ydcY   1515671 1515904 cw
ydcZ   1515905 1516354 ccw
yncA   1516351 1516869 ccw
curA   1517050 1518087 cw
mcbR   1518285 1518950 cw
yncD   1518986 1521088 ccw
yncE   1521330 1522391 cw
ansP   1522504 1524003 ccw
yncG   1524270 1524887 cw
yncH   1524963 1525175 cw
rhsE   1525925 1527961 cw
ydcD   1527945 1528427 cw
yncI   1528609 1529662 cw
ydcC   1529839 1530975 cw
pptA   1531075 1531308 cw
yddH   1531305 1531874 ccw
nhoA   1532047 1532892 cw
yddE   1532988 1533881 ccw
narV   1533960 1534640 ccw
narW   1534637 1535332 ccw
narY   1535332 1536876 ccw
narZ   1536873 1540613 ccw
narU   1540695 1542083 ccw
yddJ   1542407 1542742 ccw
yddK   1542781 1543770 ccw
yddL   1543773 1544051 ccw
yddG   1544311 1545192 ccw
fdnG   1545424 1548471 cw
fdnH   1548484 1549368 cw
fdnI   1549361 1550014 cw
yddM   1550421 1550705 ccw
adhP   1550851 1551861 ccw
maeA   1551995 1553692 ccw
sra    1553849 1553986 ccw
bdm    1554088 1554303 ccw
osmC   1554648 1555079 cw
ddpF   1555135 1556061 ccw
ddpD   1556054 1557040 ccw
ddpC   1557037 1557933 ccw
ddpB   1557930 1558952 ccw
ddpA   1558954 1560504 ccw
ddpX   1560518 1561099 ccw
dosP   1561357 1563756 ccw
dosC   1563781 1565163 ccw
yddW   1565527 1566846 ccw
gadC   1566977 1568512 ccw
gadB   1568668 1570068 ccw
pqqL   1570430 1573225 ccw
yddB   1573270 1575642 ccw
yddA   1575680 1577365 ccw
ydeM   1577656 1578813 ccw
ydeN   1578865 1580547 ccw
ydeO   1580949 1581710 ccw
safA   1581785 1581982 ccw
ydeP   1582230 1584509 ccw
ydeQ   1584843 1585757 ccw
ydeR   1585816 1586319 ccw
ydeS   1586332 1586862 ccw
ydeT   1586876 1588102 ccw
yneL   1588357 1588559 ccw
hipA   1588877 1590199 ccw
hipB   1590199 1590465 ccw
yneO   1590688 1596010 ccw
lsrK   1596640 1598232 ccw
lsrR   1598311 1599264 ccw
lsrA   1599513 1601048 cw
lsrC   1601042 1602070 cw
lsrD   1602070 1603062 cw
lsrB   1603074 1604096 cw
lsrF   1604123 1604998 cw
lsrG   1605022 1605312 cw
tam    1605369 1606127 cw
yneE   1606131 1607045 ccw
uxaB   1607252 1608703 ccw
yneF   1608930 1609877 ccw
yneG   1609989 1610348 ccw
yneH   1610348 1611274 ccw
sad    1611338 1612726 ccw
yneJ   1612827 1613708 cw
yneK   1613786 1614901 cw
ydeA   1615051 1616241 cw
marC   1616266 1616931 ccw
marR   1617143 1617577 cw
marA   1617597 1617980 cw
marB   1618012 1618230 cw
eamA   1618261 1619160 ccw
ydeE   1619355 1620542 cw
yneM   1620669 1620764 cw
ydeH   1620983 1621873 ccw
ydeI   1622128 1622520 ccw
ydeJ   1622796 1623314 cw
dcp    1623358 1625403 ccw
ydfG   1625540 1626286 cw
ydfH   1626375 1627061 cw
ydfZ   1627238 1627441 cw
ydfI   1627476 1628936 ccw
ydfJ   1629025 1650861 ccw
ydfK   1631095 1631328 cw
pinQ   1631645 1632235 cw
tfaQ   1632333 1632908 ccw
stfQ   1632908 1633870 ccw
nohQ   1633863 1634390 ccw
ynfO   1634779 1635012 cw
ydfO   1635070 1635480 cw
gnsB   1635632 1635805 ccw
ynfN   1635977 1636132 ccw
cspI   1636478 1636690 ccw
rzpQ   1637053 1637550 ccw
rzoQ   1637103 1637357 ccw
rrrQ   1637547 1638080 ccw
ydfR   1638077 1638388 ccw
essQ   1638393 1638608 ccw
cspB   1639362 1639577 ccw
cspF   1639878 1640090 cw
quuQ   1640512 1641264 ccw
ydfU   1641278 1642327 ccw
rem    1642674 1642925 ccw
hokD   1643142 1643297 ccw
relE   1643369 1643656 ccw
relB   1643656 1643895 ccw
ydfV   1643920 1644225 cw
flxA   1644428 1644760 cw
intK   1645197 1645379 ccw
ydfX   1645381 1645659 ccw
dicC   1645643 1645873 ccw
dicA   1645957 1646364 cw
ydfA   1646531 1646686 cw
ydfB   1646688 1646816 cw
ydfC   1646846 1647064 cw
dicB   1647632 1647820 cw
ydfD   1647817 1648008 cw
ydfE   1648101 1648865 cw
insD   1648868 1649560 cw
intQ   1649574 1650731 cw
rspB   1650919 1651938 ccw
rspA   1651950 1653164 ccw
ynfA   1653370 1653696 ccw
ynfB   1653831 1654172 cw
speG   1654207 1654767 cw
ynfC   1654770 1655480 ccw
ynfD   1655588 1655893 cw
ynfE   1656092 1658518 cw
ynfF   1658579 1661002 cw
ynfG   1661013 1661630 cw
ynfH   1661632 1662486 cw
dmsD   1662529 1663143 cw
clcB   1663338 1664594 cw
ynfK   1664547 1665242 ccw
dgsA   1665367 1666587 ccw
ynfL   1666722 1667615 ccw
ynfM   1667722 1668975 cw
asr    1669399 1669707 cw
ydgU   1669800 1669883 cw
ydgD   1669983 1670804 cw
mdtI   1670843 1671172 ccw
mdtJ   1671159 1671524 ccw
tqsA   1671936 1672970 cw
pntB   1672995 1674383 ccw
pntA   1674394 1675926 ccw
ydgH   1676450 1677394 cw
ydgI   1677580 1678962 cw
folM   1678999 1679721 cw
ydgC   1679718 1680053 ccw
rstA   1680182 1680901 cw
rstB   1680905 1682206 cw
tus    1682282 1683211 cw
fumC   1683208 1684611 ccw
fumA   1684754 1686400 ccw
manA   1686599 1687774 cw
ydgA   1687875 1689383 cw
uidC   1689609 1690874 ccw
uidB   1690913 1692286 ccw
uidA   1692283 1694094 ccw
uidR   1694485 1695075 ccw
hdhA   1695296 1696063 ccw
malI   1696175 1697203 ccw
malX   1697378 1698970 cw
malY   1698980 1700152 cw
add    1700256 1701257 cw
ydgJ   1701291 1702331 ccw
blr    1702574 1702699 cw
cnu    1702972 1703187 cw
ydgK   1703273 1703713 cw
rsxA   1703790 1704371 cw
rsxB   1704371 1704949 cw
rsxC   1704942 1707164 cw
rsxD   1707165 1708223 cw
rsxG   1708227 1708847 cw
rsxE   1708851 1709546 cw
nth    1709546 1710181 cw
dtpA   1710792 1712294 cw
gstA   1712400 1713005 cw
pdxY   1713049 1713912 ccw
tyrS   1713971 1715245 ccw
pdxH   1715374 1716030 ccw
mliC   1716089 1716418 ccw
anmK   1716516 1717625 ccw
slyB   1717899 1718366 cw
slyA   1718413 1718847 ccw
ydhI   1719048 1719284 cw
ydhJ   1719287 1720144 cw
ydhK   1720144 1722156 cw
sodC   1722157 1722678 ccw
ydhF   1722759 1723655 ccw
ydhL   1723704 1723943 ccw
nemR   1724046 1724645 cw
nemA   1724682 1725779 cw
gloA   1725860 1726267 cw
rnt    1726370 1727017 cw
lhr    1727110 1731726 cw
grxD   1731777 1732124 ccw
ydhO   1732458 1733273 cw
sodB   1733401 1733982 cw
ydhP   1734144 1735313 ccw
ynhF   1735479 1735568 ccw
purR   1735867 1736892 cw
ydhB   1736889 1737821 ccw
ydhC   1737934 1739145 cw
cfa    1739436 1740584 cw
ribC   1740624 1741265 ccw
mdtK   1741480 1742853 cw
ydhQ   1742894 1744150 ccw
ydhR   1744723 1745028 cw
ydhS   1745154 1746758 cw
ydhT   1746770 1747582 ccw
ydhU   1747586 1748371 ccw
ydhX   1748368 1749036 ccw
ydhW   1749100 1749747 ccw
ydhV   1749751 1751853 ccw
ydhY   1751874 1752500 ccw
ydhZ   1752955 1753164 ccw
pykF   1753721 1755133 cw
lpp    1755444 1755680 cw
ynhG   1755744 1756748 ccw
sufE   1756897 1757313 ccw
sufS   1757326 1758546 ccw
sufD   1758543 1759814 ccw
sufC   1759789 1760535 ccw
sufB   1760545 1762032 ccw
sufA   1762041 1762409 ccw
ydiH   1762957 1763145 ccw
ydiI   1763245 1763655 ccw
ydiJ   1763652 1766708 ccw
ydiK   1767097 1768209 cw
ydiL   1768638 1768994 cw
ydiM   1769094 1770308 cw
ydiN   1770535 1771800 cw
ydiB   1771812 1772678 cw
aroD   1772709 1773467 cw
ydiF   1773610 1775205 cw
ydiO   1775219 1776370 cw
ydiP   1776413 1777324 ccw
ydiQ   1777640 1778404 cw
ydiR   1778424 1779362 cw
ydiS   1779418 1780707 cw
ydiT   1780704 1780997 cw
fadK   1781054 1782700 cw
ppsA   1782757 1785135 ccw
ppsR   1785468 1786301 cw
aroH   1786458 1787504 cw
ydiE   1787636 1787827 cw
ydiU   1787831 1789267 ccw
cdgR   1789330 1790043 ccw
nlpC   1790290 1790754 ccw
btuD   1790832 1791581 ccw
btuE   1791581 1792132 ccw
btuC   1792195 1793175 ccw
ihfA   1793276 1793575 ccw
pheT   1793580 1795967 ccw
pheS   1795982 1796965 ccw
pheM   1797249 1797293 ccw
rplT   1797416 1797772 ccw
rpmI   1797825 1798022 ccw
infC   1798119 1798661 ccw
thrS   1798665 1800593 ccw
arpB   1801117 1803016 cw
yniD   1803188 1803295 cw
ydiY   1803348 1804106 ccw
pfkB   1804393 1805322 cw
ydiZ   1805423 1805713 cw
yniA   1805819 1806679 cw
yniB   1806720 1807256 ccw
yniC   1807403 1808071 cw
ydjM   1808234 1808824 cw
ydjN   1808957 1810348 cw
ydjO   1810352 1811155 ccw
cedA   1811444 1811686 ccw
katE   1811890 1814151 cw
chbG   1814409 1815158 ccw
chbF   1815171 1816523 ccw
chbR   1816628 1817470 ccw
chbA   1817478 1817828 ccw
chbC   1817879 1819237 ccw
chbB   1819322 1819642 ccw
osmE   1819941 1820279 ccw
nadE   1820481 1821308 cw
cho    1821538 1822425 cw
ves    1822385 1822960 ccw
spy    1823163 1823648 ccw
astE   1823978 1824946 ccw
astB   1824939 1826282 ccw
astD   1826279 1827757 ccw
astA   1827754 1828788 ccw
astC   1828785 1830005 ccw
xthA   1830451 1831257 cw
ydjX   1831424 1832134 cw
ydjY   1832139 1832816 cw
ydjZ   1832831 1833538 cw
ynjA   1833538 1834086 cw
ynjB   1834096 1835262 cw
ynjC   1835235 1836770 cw
ynjD   1836770 1837423 cw
ynjE   1837490 1838797 cw
ynjF   1838806 1839426 ccw
nudG   1839513 1839920 cw
ynjH   1839886 1840158 ccw
gdhA   1840394 1841737 cw
ynjI   1841854 1842894 ccw
topB   1843022 1844983 ccw
selD   1844988 1846031 ccw
ydjA   1846148 1846699 ccw
sppA   1846860 1848716 cw
ansA   1848883 1849899 cw
pncA   1849910 1850551 cw
ydjE   1850644 1852002 ccw
ydjF   1852119 1852877 ccw
ydjG   1853014 1853994 ccw
ydjH   1854004 1854951 ccw
ydjI   1854956 1855792 ccw
ydjJ   1855813 1856856 ccw
ydjK   1856873 1858252 ccw
ydjL   1858279 1859355 ccw
yeaC   1859725 1859997 ccw
msrB   1860039 1860452 ccw
gapA   1860794 1861789 cw
yeaD   1861873 1862757 cw
yeaE   1862805 1863659 ccw
mipA   1863749 1864495 ccw
yeaG   1864931 1866865 cw
yeaH   1866978 1868261 cw
yeaI   1868408 1869883 cw
yeaJ   1870064 1871554 cw
yeaK   1871597 1872100 cw
yoaI   1872101 1872205 ccw
yeaL   1872375 1872821 cw
yeaM   1872778 1873599 ccw
yeaN   1873696 1874877 cw
yeaO   1874932 1875279 cw
yoaF   1875301 1875555 ccw
yeaP   1875738 1876763 cw
yoaK   1876796 1876894 cw
yoaJ   1876897 1876971 cw
yeaQ   1877030 1877278 ccw
yoaG   1877426 1877608 ccw
yeaR   1877612 1877971 ccw
leuE   1878144 1878782 ccw
dmlR   1878909 1879832 ccw
dmlA   1879935 1881020 cw
yeaV   1881211 1882656 cw
yeaW   1882688 1883812 cw
yeaX   1883868 1884833 cw
rnd    1884887 1886014 ccw
fadD   1886084 1887769 ccw
yeaY   1887974 1888555 ccw
yeaZ   1888595 1889290 ccw
yoaA   1889348 1891258 ccw
yoaB   1891390 1891734 cw
yoaC   1892156 1892455 cw
yoaH   1892575 1892754 ccw
pabB   1892828 1894189 cw
nudL   1894193 1894771 cw
sdaA   1894955 1896319 cw
adrB   1896450 1898048 cw
yoaE   1898052 1899608 ccw
manX   1900071 1901042 cw
manY   1901105 1901905 cw
manZ   1901918 1902769 cw
yobD   1902824 1903282 cw
yebN   1903711 1904277 cw
rlmA   1904274 1905083 ccw
cspC   1905249 1905458 ccw
yobF   1905471 1905614 ccw
yebO   1906284 1906571 ccw
mgrB   1906646 1906789 ccw
yobH   1906948 1907187 cw
kdgR   1907331 1908122 ccw
yebQ   1908299 1909672 cw
htpX   1909718 1910599 ccw
prc    1910791 1912839 ccw
proQ   1912859 1913557 ccw
msrC   1913654 1914151 ccw
yebS   1914281 1915564 cw
yebT   1915533 1918166 cw
rsmF   1918246 1919685 cw
yebV   1919803 1920039 cw
yebW   1920144 1920335 cw
pphA   1920336 1920992 ccw
yebY   1921388 1921729 ccw
yebZ   1921742 1922614 ccw
yobA   1922618 1922992 ccw
holE   1923131 1923361 cw
yobB   1923463 1924119 cw
exoX   1924143 1924805 cw
ptrB   1924802 1926862 ccw
yebE   1927071 1927730 ccw
yebF   1928057 1928413 ccw
yebG   1928480 1928770 ccw
purT   1928904 1930082 cw
eda    1930138 1930779 ccw
edd    1930816 1932627 ccw
zwf    1932862 1934337 ccw
yebK   1934675 1935544 cw
pykA   1935672 1937114 cw
lpxM   1937245 1938216 ccw
yebA   1938336 1939658 ccw
znuA   1939674 1940606 ccw
znuC   1940685 1941440 cw
znuB   1941437 1942222 cw
ruvB   1942369 1943379 ccw
ruvA   1943388 1943999 ccw
yobI   1944138 1944203 ccw
yebB   1944274 1944876 cw
ruvC   1944878 1945399 ccw
yebC   1945434 1946174 ccw
nudB   1946203 1946655 ccw
aspS   1946773 1948545 ccw
yecD   1948855 1949421 cw
yecE   1949418 1950236 cw
yecN   1950289 1950684 cw
cmoA   1950725 1951468 cw
cmoB   1951465 1952436 cw
torZ   1952601 1955030 ccw
torY   1955055 1956155 ccw
cutC   1956543 1957289 ccw
yecM   1957303 1957869 ccw
argS   1958085 1959818 cw
yecT   1959995 1960483 cw
flhE   1960603 1960995 ccw
flhA   1960995 1963073 ccw
flhB   1963066 1964214 ccw
cheZ   1964416 1965060 ccw
cheY   1965071 1965460 ccw
cheB   1965475 1966524 ccw
cheR   1966527 1967387 ccw
tap    1967406 1969007 ccw
tar    1969053 1970714 ccw
cheW   1970859 1971362 ccw
cheA   1971383 1973347 ccw
motB   1973352 1974278 ccw
motA   1974275 1975162 ccw
flhC   1975289 1975867 ccw
flhD   1975870 1976220 ccw
insB   1976541 1977044 ccw
